Student_ID,Position,Department,Teaching_Score,Years_at_HUJI,Office_Type,Beloved
10149,TA,Humanities,Low,2-5,Shared,No
10150,TA,CS,Low,2-5,Private,No
10151,Professor,Humanities,Med,2-5,Shared,No
10152,TA,Humanities,Med,5+,Private,No
10153,Staff,CS,High,5+,Private,Yes
10154,Staff,Bio,Med,1-2,Private,No
10155,TA,Bio,High,5+,Private,Yes
10156,Staff,CS,High,5+,Private,Yes
10157,Staff,Bio,Low,2-5,Private,No
10158,TA,CS,Low,5+,Shared,No
10159,TA,CS,Low,2-5,Shared,No
10160,Staff,CS,Low,1-2,Shared,No
10161,Staff,Bio,Med,1-2,Private,No
10162,Staff,CS,Low,5+,Private,No
10163,Professor,Humanities,Med,1-2,Shared,No
10164,Professor,Bio,Low,5+,Private,No
10165,Professor,Bio,Med,1-2,Private,No
10166,TA,Bio,High,2-5,Private,Yes
10167,Professor,Bio,Med,2-5,Private,No
10168,TA,Humanities,Med,2-5,Private,No
10169,TA,Bio,Low,2-5,Shared,No
10170,Professor,Bio,Med,5+,Shared,No
10171,Professor,CS,High,1-2,Shared,Yes
10172,Professor,Bio,High,5+,Shared,Yes
10173,Staff,Humanities,Low,2-5,Shared,No
10174,Professor,Humanities,High,5+,Private,Yes
10175,Staff,Humanities,Med,1-2,Private,No
10176,TA,Humanities,High,5+,Private,Yes
10177,Staff,Bio,Low,1-2,Private,No
10178,Professor,Bio,Med,5+,Shared,No
10179,TA,Humanities,Low,1-2,Shared,No
10180,TA,Humanities,Med,1-2,Shared,No
10181,TA,Bio,High,2-5,Private,Yes
10182,Staff,Humanities,Low,1-2,Shared,No
10183,Professor,CS,Low,2-5,Private,No
10184,TA,Humanities,Med,2-5,Shared,No
10185,TA,Humanities,Low,2-5,Shared,No
10186,TA,CS,Med,5+,Private,Yes
10187,Staff,CS,Med,5+,Private,Yes
10188,Staff,Bio,Med,5+,Shared,No
10189,Professor,Bio,Med,5+,Shared,No
10190,Staff,CS,High,1-2,Private,Yes
10191,TA,CS,Med,1-2,Shared,Yes
10192,Professor,Bio,Low,5+,Shared,No
10193,TA,Humanities,High,1-2,Private,Yes
10194,TA,CS,Low,1-2,Shared,No
10195,Staff,Bio,High,2-5,Private,Yes
10196,Professor,Humanities,Med,2-5,Shared,No
10197,Staff,CS,High,2-5,Private,Yes
10198,Staff,Humanities,High,2-5,Shared,Yes
10199,Professor,Bio,Low,1-2,Private,No
10200,TA,CS,Low,5+,Shared,No
10201,TA,Humanities,Med,1-2,Private,No
10202,Professor,CS,High,1-2,Shared,Yes
10203,TA,Humanities,High,1-2,Shared,Yes
10204,Professor,Bio,High,2-5,Shared,Yes
10205,Professor,Bio,Med,2-5,Shared,No
10206,Staff,CS,Med,2-5,Shared,No
10207,Professor,Humanities,Med,5+,Shared,No
10208,Staff,CS,Med,1-2,Shared,No
10209,TA,CS,Med,5+,Shared,Yes
10210,TA,Humanities,Low,2-5,Shared,No
10211,TA,Humanities,High,5+,Private,Yes
10212,TA,Humanities,High,1-2,Private,Yes
10213,Staff,Bio,High,1-2,Shared,Yes
10214,TA,CS,High,2-5,Private,Yes
10215,Professor,CS,High,2-5,Shared,Yes
10216,Professor,Bio,High,5+,Shared,Yes
10217,Professor,Humanities,High,2-5,Private,Yes
10218,Staff,Bio,High,2-5,Shared,Yes
10219,TA,Bio,Low,1-2,Shared,No
10220,TA,Bio,High,2-5,Private,Yes
10221,TA,CS,Low,2-5,Private,No
10222,Staff,Bio,Med,1-2,Shared,No
10223,Professor,CS,High,1-2,Private,Yes
10224,Professor,CS,Med,5+,Private,No
10225,TA,CS,Med,2-5,Shared,Yes
10226,Professor,Humanities,Med,1-2,Private,No
10227,Professor,CS,Low,5+,Private,No
10228,Staff,CS,Med,5+,Shared,No
10229,Staff,Humanities,Med,2-5,Private,No
10230,Staff,CS,Med,2-5,Private,No
10231,Staff,Bio,High,5+,Shared,Yes
10232,TA,Bio,High,1-2,Shared,Yes
10233,Staff,CS,Low,5+,Shared,No
10234,Professor,Humanities,Low,2-5,Private,No
10235,TA,Bio,High,1-2,Shared,Yes
10236,Professor,Humanities,Low,1-2,Shared,No
10237,Professor,Humanities,High,5+,Private,Yes
10238,Professor,Bio,Med,2-5,Shared,No
10239,Staff,Humanities,Med,5+,Shared,No
10240,Staff,Bio,Low,5+,Shared,No
10241,TA,Humanities,High,5+,Shared,Yes
10242,TA,Bio,High,1-2,Private,Yes
10243,Staff,CS,Low,1-2,Shared,No
10244,Professor,Bio,High,2-5,Shared,Yes
10245,TA,Bio,Med,2-5,Private,Yes
10246,Staff,Bio,Low,5+,Shared,No
10247,Staff,Bio,Low,5+,Private,No
10248,Staff,Humanities,High,5+,Private,Yes
10249,Professor,CS,Low,2-5,Private,No
10250,Staff,Bio,High,1-2,Shared,Yes
10251,Staff,Humanities,High,1-2,Private,Yes
10252,Staff,CS,High,5+,Private,Yes
10253,Staff,CS,High,5+,Private,Yes
10254,TA,CS,High,5+,Shared,Yes
10255,TA,CS,Low,5+,Shared,No
10256,Staff,Bio,Med,2-5,Shared,No
10257,Professor,Bio,Med,1-2,Shared,No
10258,TA,Humanities,Low,5+,Shared,No
10259,Staff,Humanities,Low,2-5,Shared,No
10260,TA,Humanities,Med,5+,Shared,Yes
10261,TA,CS,Med,5+,Private,Yes
10262,Professor,CS,Med,1-2,Private,No
10263,Staff,Bio,Med,5+,Private,No
10264,Staff,CS,Med,1-2,Private,No
10265,Professor,CS,High,1-2,Shared,Yes
10266,Professor,CS,Low,1-2,Private,No
10267,Staff,Humanities,High,2-5,Private,Yes
10268,Staff,Humanities,Med,2-5,Private,No
10269,Professor,Bio,Med,1-2,Private,No
10270,TA,CS,Med,5+,Shared,Yes
10271,TA,CS,High,1-2,Shared,Yes
10272,Professor,Bio,High,5+,Shared,Yes
10273,TA,CS,Med,1-2,Private,Yes
10274,Professor,CS,High,5+,Shared,Yes
10275,TA,Humanities,High,2-5,Private,Yes
10276,TA,Bio,Med,5+,Shared,Yes
10277,Staff,Bio,High,1-2,Shared,Yes
10278,Staff,Bio,Low,2-5,Shared,No
10279,TA,Bio,Low,5+,Shared,No
10280,TA,Humanities,Low,5+,Shared,No
10281,Staff,Humanities,Low,5+,Private,No
10282,Staff,CS,Med,5+,Shared,No
10283,Staff,CS,Med,5+,Private,No
10284,Professor,CS,Med,2-5,Private,No
10285,TA,CS,Low,2-5,Private,No
10286,Staff,Humanities,Low,2-5,Private,No
10287,TA,Bio,High,2-5,Private,Yes
10288,Professor,Humanities,High,1-2,Shared,Yes
10289,Professor,CS,Low,2-5,Shared,No
10290,Staff,Humanities,Low,5+,Shared,No
10291,Professor,Bio,Low,5+,Shared,No
10292,TA,Bio,Low,2-5,Private,No
10293,Staff,Humanities,High,5+,Shared,Yes
10294,TA,Humanities,Low,2-5,Shared,No
10295,TA,Humanities,High,5+,Private,Yes
10296,Professor,CS,Low,1-2,Private,No
10297,Professor,Humanities,Low,1-2,Shared,No
10298,Professor,Humanities,Low,2-5,Shared,No
10299,Professor,Humanities,High,2-5,Private,Yes
10300,Professor,Bio,High,2-5,Shared,Yes
10301,Staff,Bio,Med,5+,Shared,No
10302,TA,CS,Low,2-5,Shared,No
10303,TA,CS,Med,1-2,Shared,Yes
10304,TA,Bio,Med,5+,Private,No
10305,TA,Bio,High,2-5,Private,Yes
10306,Professor,Bio,High,5+,Private,Yes
10307,TA,Humanities,Med,5+,Shared,No
10308,Staff,Humanities,Low,2-5,Shared,No
10309,Staff,Bio,High,5+,Shared,Yes
10310,TA,Humanities,Low,1-2,Shared,No
10311,TA,Humanities,Low,1-2,Shared,No
10312,Staff,CS,Med,5+,Private,Yes
10313,Staff,Bio,Med,2-5,Shared,No
10314,Professor,Bio,Med,5+,Shared,No
10315,Staff,Humanities,Med,1-2,Private,No
10316,Professor,Bio,High,5+,Shared,Yes
10317,Professor,CS,High,5+,Private,Yes
10318,Professor,CS,Med,1-2,Private,No
10319,Professor,CS,High,5+,Private,Yes
10320,Professor,Bio,Med,5+,Private,No
10321,TA,Bio,Low,2-5,Private,No
10322,Staff,Bio,Low,2-5,Shared,No
10323,Professor,Bio,Low,1-2,Private,No
10324,Staff,Bio,Med,1-2,Private,No
10325,Staff,CS,Low,1-2,Shared,No
10326,Professor,Humanities,High,2-5,Shared,Yes
10327,TA,CS,Low,1-2,Private,No
10328,Professor,Bio,Low,1-2,Shared,No
10329,TA,CS,Low,1-2,Shared,No
10330,Staff,Bio,High,2-5,Private,Yes
10331,TA,Bio,Med,5+,Private,No
10332,TA,CS,High,1-2,Shared,Yes
10333,TA,Bio,Med,5+,Private,Yes
10334,Staff,Humanities,Med,1-2,Private,No
10335,Staff,Bio,Low,5+,Shared,No
10336,TA,Humanities,Med,2-5,Private,No
10337,TA,Humanities,High,2-5,Private,Yes
10338,Professor,Bio,High,1-2,Private,Yes
10339,TA,CS,Med,5+,Private,Yes
10340,Professor,Humanities,Low,2-5,Private,No
10341,TA,CS,Low,1-2,Shared,No
10342,Professor,Humanities,High,1-2,Shared,Yes
10343,Staff,Bio,Low,2-5,Private,No
10344,TA,Bio,Med,2-5,Shared,Yes
10345,TA,Humanities,Med,1-2,Private,No
10346,TA,Bio,High,5+,Private,Yes
10347,TA,Humanities,Med,5+,Private,Yes
10348,Professor,Bio,High,5+,Private,Yes
10349,TA,CS,Med,1-2,Private,Yes
10350,Staff,Bio,High,2-5,Shared,Yes
10351,Staff,CS,Low,1-2,Shared,No
10352,TA,Bio,Med,2-5,Private,No
10353,Staff,CS,Med,5+,Shared,No
10354,TA,Bio,High,5+,Private,Yes
10355,TA,CS,High,2-5,Shared,Yes
10356,Staff,Humanities,Med,2-5,Private,No
10357,TA,Humanities,High,1-2,Shared,Yes
10358,Staff,CS,Med,5+,Private,Yes
10359,Professor,Bio,Low,1-2,Private,No
10360,TA,CS,High,1-2,Shared,Yes
10361,Professor,Bio,Med,1-2,Shared,No
10362,Staff,Humanities,Low,5+,Private,No
10363,Professor,Bio,Low,1-2,Shared,No
10364,Professor,Humanities,Med,1-2,Private,No
10365,Staff,Bio,High,1-2,Shared,Yes
10366,Professor,Bio,Med,1-2,Shared,No
10367,Professor,Bio,Low,1-2,Private,No
10368,Staff,CS,Med,1-2,Shared,No
10369,Professor,CS,High,5+,Shared,Yes
10370,Staff,Humanities,Low,1-2,Private,No
10371,Professor,Humanities,Med,2-5,Shared,No
10372,Staff,CS,High,1-2,Private,Yes
10373,Staff,Humanities,Low,1-2,Private,No
10374,Professor,CS,High,5+,Private,Yes
10375,Professor,Bio,Low,5+,Private,No
10376,Professor,Humanities,Med,2-5,Private,No
10377,TA,Humanities,High,2-5,Shared,Yes
10378,TA,CS,Low,5+,Private,No
10379,TA,Humanities,High,5+,Private,Yes
10380,Staff,Humanities,High,1-2,Shared,Yes
10381,Professor,Bio,Med,5+,Shared,No
10382,Staff,Humanities,High,2-5,Shared,Yes
10383,TA,Bio,Low,1-2,Private,No
10384,Professor,CS,Low,2-5,Private,No
10385,Staff,Humanities,Low,1-2,Private,No
10386,Professor,Bio,Low,5+,Shared,No
10387,Staff,CS,Med,2-5,Private,No
10388,Professor,Humanities,High,1-2,Shared,Yes
10389,TA,CS,Med,1-2,Private,Yes
10390,TA,Humanities,High,5+,Shared,Yes
10391,Professor,CS,High,5+,Private,Yes
10392,Staff,CS,High,5+,Private,Yes
10393,TA,Bio,Med,2-5,Private,No
10394,TA,CS,High,1-2,Shared,Yes
10395,TA,Humanities,Med,5+,Shared,No
10396,Professor,Humanities,Low,2-5,Private,No
10397,Professor,Bio,Low,2-5,Private,No
10398,Staff,Humanities,High,2-5,Private,Yes
10399,Staff,Humanities,Med,5+,Shared,No
10400,Staff,Humanities,Low,5+,Private,No
10401,Professor,CS,Med,1-2,Private,No
10402,Professor,CS,Med,1-2,Private,No
10403,Staff,Humanities,High,5+,Private,Yes
10404,Staff,Bio,Low,2-5,Shared,No
10405,Professor,CS,High,2-5,Shared,Yes
10406,Staff,Bio,High,2-5,Private,Yes
10407,TA,Humanities,Low,1-2,Private,No
10408,Professor,Humanities,Low,2-5,Shared,No
10409,Staff,CS,Med,1-2,Shared,No
10410,Professor,Humanities,Low,1-2,Private,No
10411,TA,CS,Med,2-5,Shared,Yes
10412,Professor,Humanities,Med,2-5,Shared,No
10413,Professor,Humanities,Med,5+,Private,No
10414,Professor,CS,Low,5+,Shared,No
10415,Professor,CS,High,2-5,Shared,Yes
10416,TA,CS,Med,1-2,Private,Yes
10417,Professor,Humanities,High,1-2,Private,Yes
10418,Professor,Humanities,High,1-2,Shared,Yes
10419,Staff,Bio,Low,1-2,Private,No
10420,Professor,CS,High,1-2,Shared,Yes
10421,Staff,Humanities,High,5+,Private,Yes
10422,TA,Humanities,Low,2-5,Shared,No
10423,TA,CS,Med,5+,Private,Yes
10424,TA,Bio,High,1-2,Shared,Yes
10425,TA,CS,Low,1-2,Shared,No
10426,Staff,Bio,High,1-2,Shared,Yes
10427,Professor,Humanities,High,1-2,Private,Yes
10428,TA,Bio,Med,2-5,Private,Yes
10429,Professor,Humanities,High,1-2,Shared,Yes
10430,Staff,CS,Low,2-5,Shared,No
10431,Staff,CS,High,1-2,Private,Yes
10432,Staff,CS,Med,2-5,Private,No
10433,TA,Bio,Med,5+,Private,Yes
10434,Professor,Humanities,Low,1-2,Private,No
10435,Professor,CS,Med,2-5,Private,No
10436,Professor,CS,High,5+,Private,Yes
10437,Staff,Humanities,Med,1-2,Shared,No
10438,TA,CS,Low,1-2,Private,No
10439,Staff,Humanities,Med,1-2,Shared,No
10440,Staff,Humanities,Med,2-5,Private,No
10441,Professor,Humanities,Med,2-5,Private,No
10442,Staff,Humanities,Low,5+,Shared,No
10443,Professor,Humanities,Med,2-5,Shared,No
10444,TA,Bio,Med,2-5,Private,No
10445,Professor,CS,High,1-2,Shared,Yes
10446,TA,Bio,Low,1-2,Shared,No
10447,Professor,CS,Med,1-2,Shared,No
10448,Staff,Bio,Low,1-2,Shared,No
10449,Staff,Humanities,Med,1-2,Private,No
10450,TA,CS,Med,1-2,Shared,Yes
10451,TA,CS,Med,1-2,Private,Yes
10452,TA,Bio,High,5+,Private,Yes
10453,Professor,Bio,High,5+,Private,Yes
10454,Professor,CS,High,5+,Private,Yes
10455,TA,Bio,Low,5+,Shared,No
10456,Staff,Bio,Low,1-2,Shared,No
10457,Professor,Bio,High,5+,Private,Yes
10458,Professor,Humanities,Low,1-2,Private,No
10459,Professor,Humanities,Med,5+,Private,No
10460,TA,Bio,Med,2-5,Private,No
10461,TA,Bio,Med,5+,Shared,Yes
10462,TA,Humanities,High,5+,Private,Yes
10463,TA,Humanities,Low,1-2,Shared,No
10464,TA,CS,High,5+,Private,Yes
10465,Staff,CS,Low,2-5,Private,No
10466,Staff,Humanities,Med,1-2,Private,No
10467,TA,Bio,High,1-2,Private,Yes
10468,Professor,Bio,Low,5+,Shared,No
10469,TA,Bio,Low,1-2,Shared,No
10470,Staff,Bio,Med,1-2,Shared,No
10471,Staff,CS,High,1-2,Private,Yes
10472,Professor,Humanities,High,1-2,Private,Yes
10473,Staff,Bio,High,1-2,Shared,Yes
10474,TA,CS,Med,1-2,Shared,Yes
10475,Professor,Bio,High,2-5,Private,Yes
10476,TA,Humanities,Med,5+,Private,No
10477,TA,CS,Med,2-5,Shared,Yes
10478,Professor,Humanities,Med,1-2,Private,No
10479,TA,Humanities,Low,1-2,Private,No
10480,Staff,CS,High,5+,Shared,Yes
10481,TA,CS,High,2-5,Private,Yes
10482,Professor,CS,Med,5+,Shared,No
10483,Professor,CS,Med,2-5,Private,No
10484,Professor,CS,High,1-2,Shared,Yes
10485,TA,CS,Med,5+,Private,Yes
10486,Professor,CS,High,5+,Shared,Yes
10487,Professor,Bio,Low,1-2,Shared,No
10488,TA,Humanities,Med,5+,Shared,Yes
10489,Staff,CS,High,2-5,Shared,Yes
10490,TA,Bio,Med,2-5,Private,No
10491,Professor,Bio,High,2-5,Private,Yes
10492,Professor,Bio,High,2-5,Shared,Yes
10493,TA,Humanities,Med,1-2,Private,No
10494,Staff,CS,Low,5+,Private,No
10495,Professor,Bio,High,2-5,Private,Yes
10496,Professor,Humanities,High,1-2,Private,Yes
10497,Professor,Humanities,High,5+,Private,Yes
10498,TA,Humanities,Low,5+,Shared,No
10499,Professor,Bio,Low,1-2,Shared,No
10500,Staff,CS,Med,1-2,Shared,No
10501,Professor,Bio,Low,2-5,Shared,No
10502,Professor,Bio,Med,5+,Private,No
10503,Staff,CS,Med,5+,Private,No
10504,Professor,CS,Low,1-2,Shared,No
10505,TA,CS,Med,5+,Private,Yes
10506,TA,Humanities,Low,2-5,Private,No
10507,TA,CS,Med,5+,Shared,Yes
10508,Staff,Bio,Low,1-2,Private,No
10509,Professor,CS,Low,1-2,Shared,No
10510,TA,Bio,Med,2-5,Shared,Yes
10511,Staff,Humanities,High,2-5,Private,Yes
10512,Professor,Bio,Med,5+,Private,No
10513,Staff,Bio,Low,5+,Shared,No
10514,TA,CS,High,1-2,Shared,Yes
10515,TA,CS,Med,2-5,Private,Yes
10516,TA,Bio,Med,2-5,Shared,No
10517,Staff,CS,Med,2-5,Shared,No
10518,Staff,Humanities,High,5+,Shared,Yes
10519,TA,Humanities,Low,2-5,Private,No
10520,Staff,CS,Med,1-2,Shared,No
10521,TA,Humanities,Med,1-2,Private,No
10522,TA,CS,Med,5+,Shared,Yes
10523,Professor,Bio,Med,5+,Private,No
10524,Staff,Bio,Med,2-5,Shared,No
10525,TA,Humanities,Low,5+,Private,No
10526,TA,CS,Low,1-2,Private,No
10527,Staff,CS,Med,2-5,Private,No
10528,Professor,Humanities,High,1-2,Shared,Yes
10529,Professor,Bio,Low,2-5,Shared,No
10530,TA,Humanities,High,5+,Shared,Yes
10531,Staff,Bio,Low,2-5,Private,No
10532,Professor,CS,Med,2-5,Shared,No
10533,Staff,Bio,Low,1-2,Private,No
10534,Staff,Humanities,Med,1-2,Shared,No
10535,TA,CS,Low,2-5,Private,No
10536,Professor,Humanities,Med,5+,Private,No
10537,TA,Humanities,Med,5+,Private,Yes
10538,Professor,Bio,Med,1-2,Shared,No
10539,Professor,Humanities,Med,5+,Shared,No
10540,Professor,Bio,High,1-2,Shared,Yes
10541,Professor,CS,Med,5+,Private,No
10542,Professor,Bio,High,2-5,Private,Yes
10543,Staff,CS,High,1-2,Shared,Yes
10544,TA,Bio,Med,1-2,Shared,Yes
10545,Staff,Humanities,High,2-5,Shared,Yes
10546,Professor,Bio,Low,1-2,Private,No
10547,TA,Bio,Med,5+,Private,No
10548,Professor,CS,High,5+,Private,Yes
10549,TA,Humanities,Med,1-2,Private,No
10550,Staff,Bio,Med,5+,Private,No
10551,TA,Humanities,Med,1-2,Shared,No
10552,TA,Bio,High,2-5,Private,Yes
10553,TA,Bio,Low,1-2,Private,No
10554,TA,Humanities,Low,2-5,Private,No
10555,TA,Bio,High,5+,Private,Yes
10556,Professor,Humanities,Med,2-5,Private,No
10557,TA,Bio,High,5+,Shared,Yes
10558,TA,CS,High,1-2,Private,Yes
10559,Staff,Humanities,High,5+,Private,Yes
10560,TA,Bio,Med,1-2,Private,Yes
10561,Staff,Bio,High,1-2,Shared,Yes
10562,Professor,CS,Med,2-5,Shared,No
10563,TA,Humanities,High,2-5,Shared,Yes
10564,Staff,Bio,Low,2-5,Private,No
10565,Staff,CS,High,2-5,Shared,Yes
10566,Professor,Bio,High,5+,Private,Yes
10567,TA,Humanities,Low,5+,Private,No
10568,TA,Bio,Med,5+,Shared,Yes
10569,Staff,Bio,Med,1-2,Private,No
10570,TA,Bio,High,5+,Private,Yes
10571,Staff,Bio,Low,5+,Private,No
10572,TA,CS,Med,5+,Shared,Yes
10573,Staff,CS,High,2-5,Private,Yes
10574,TA,Humanities,Low,5+,Private,No
10575,Professor,CS,Med,1-2,Shared,No
10576,TA,CS,Med,2-5,Private,Yes
10577,TA,Humanities,Low,1-2,Private,No
10578,Professor,CS,Low,5+,Shared,No
10579,TA,CS,Low,2-5,Private,No
10580,Professor,Humanities,Low,1-2,Private,No
10581,TA,Humanities,High,5+,Private,Yes
10582,Staff,Humanities,Low,1-2,Private,No
10583,Staff,Bio,Med,1-2,Private,No
10584,TA,Bio,Med,1-2,Shared,Yes
10585,TA,Humanities,High,5+,Shared,Yes
10586,TA,Humanities,Med,5+,Shared,No
10587,Staff,Humanities,Med,1-2,Shared,No
10588,TA,Bio,Low,2-5,Private,No
10589,Staff,Bio,Med,2-5,Private,No
10590,Professor,CS,High,5+,Private,Yes
10591,Staff,CS,Low,5+,Private,No
10592,Staff,Humanities,Low,5+,Private,No
10593,Professor,Bio,High,5+,Shared,Yes
10594,Staff,Bio,Low,5+,Shared,No
10595,TA,Bio,Low,2-5,Private,No
10596,TA,Humanities,High,5+,Private,Yes
